"compound_name_user","compound_name_comptox","ptx_code","purpose_analysis","formula","nomination_source","mw_g_mol","cas_neutral","dtxsid_comptox_neutral","inchikey_neutral","smiles_canonical_neutral","smiles_flag","solubility_dmso_mol_liter","source_solubility_dmso","solubility_dmso_10_mmol_liter","solubility_h2o_mol_liter","solubility_h2o_mg_liter","source_solubility_h2o","solubility_h2o_ph74_mol_liter_acd","solubility_h2o_ph74_mg_liter_acd","density_kg_L","source_density","henry_coefficient_atm_m3_mol","kaw_kh_rt","source_henry","stability","medium_air_partition","source_medium_air","storage_conditions","source_storage","moa","source_moa","mie","source_mie","ke_selected","ao","source_ke_ao","logd_ph74_acd","pka_acid","pka_base","neutral_form_ph74","negative_form_ph74","positive_form_ph74","zwitterionic_form_ph74","double_negative_form_ph74","double_positive_form_ph74","source_pka","log_kow_liter_liter_exp","source_kow_exp","log_kow_liter_liter_pred_cons","log_kow_liter_liter_pred_all","source_kow_pred","log_kow_liter_liter_used","source_kow_used","log_klipw_lserd_liter_liter","log_klipw_liter_liter","source_klipw","log_dlipw_ph74_liter_liter","source_dlipw","log_kbsaw_neutral_liter_liter","source_kbsaw","log_kspw_neutral_liter_liter","log_dspw_ph74_liter_liter","baseline_d_rerio_micromole_liter","baseline_d_magna_micromole_liter","baseline_cells_generic_micromole_liter_ec10","baseline_c_elegans_micromole_liter","baseline_x_laevis_micromole_liter","baseline_d_melanogaster_micromole_liter","baseline_max_micromole_liter","c_elegans_lec_size_micromole_liter","c_elegans_ac50_micromole_liter","source_c_elegans","zf_embryo_effect_micromole_liter","zf_endpoint","are_bla_mole_liter_IC10","are_bla_cytotox_mole_liter_ecir15","gr_bla_mole_liter_tox21","gr_bla_cytotox_mole_liter_tox21","cytotox_other_reports","cytotox_other_source","incompatibilities","analytical_method","analysis_limitation","analysis_details","analysis_simple","analysis_source","effect_concentration_expected_micromole_liter","purchased_as","cas_purchased","mw_purchased","amount_ordered_mg_5l","comments","comment_origin","reasons_exclude","solubility_tested_zf_medium_mmole_liter","solubility_tested_zf_medium_mg_liter","solubility_concentration_type","solubility_tested_cellculture_mmole_liter","solubility_test_method","stock_type","ph_adjust","reason_ph_adjust","method_ph_adjust","volume_ph_adjust_approx","buffer_requirement","stability_glass","stability_plastic","stability_method","source_stability","shsy5y_cytotox_ic10_mol_liter","neurite_outgrowth_inhibition_ec10_mol_liter","sr_cytotoxicity_neurite_outgrowth","log_ac10_neuro","log_ac50_neuro","tox21_assay_neurotoxicity_braun_2023","drugbank_name","drugbank_id","drugbank_mechanism_of_action","flag_physchem","type_vials_shipped","amount_shipped_g","form_shipped","source_are","concentration_dmso_stock_mmole_liter"
"Lidocaine","Lidocaine","PTX095","DNT","C14H22N2O","PARC-DNT based on Mundy et al 2015","234.343","137-58-6","DTXSID1045166","NNJVILVZKWQKPM-UHFFFAOYSA-N","CCN(CC)CC(=O)NC1=C(C)C=CC=C1C",,,,"Soluble","0.0175111",,"COMPTOX (OPERA)","0.021379621",,"1.014","COMPTOX",,"2.0E-10","COMPTOX",,,,,,,,,,,,,"1.84","13.1","7.19","0.618584122089031",,"0.381415877910969",,,,"UFZ; Sirius T3 + ACD pKa/GALAS","2.44",,,,,"2.44","experimental  PhysPropNCCT","2.5",,"  (LSERD eq.1)","1.7903206183932","Avdeef et al., 1998","2.2",,"1.65","1.46738401863343","2802.7385549350897","1127.0341946767774","1141.085152953134","2510.962918111978","2157.1097374192564","11875.348034617642","2802.7385549350897",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"6.494753417","1522"," Baseline x2fold","No","Visual","Water","yes","/","/","/","HEPES 10 mM",,,,,,,,,,,,,,,,,,,
"Cyclophosphamide","Cyclophosphamide","PTX096","DNT","C7H15Cl2N2O2P","PARC-DNT based on ONTOX, Mundy et al 2015","261.08","50-18-0","DTXSID5020364","CMSMOCZEIVJLDB-UHFFFAOYSA-N","ClCCN(CCCl)P1(=O)NCCCO1",,,,"Soluble","0.152333",,"COMPTOX (OPERA)","0.154881662",,"1.303","COMPTOX",,"1.04E-6","COMPTOX",,,,,,"cytostatic compound that requires metabolic activation and leads to DNA crosslinking","Wikipedia",,,,,,"0.23",,,"1",,,,,,,"0.63",,,,,"0.63","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","0.7563","Kow-QSAR (?mw=1)","1.31",,"0.0699","0.0699","29598.043218854837","7940.24677355743","9069.418497631754","17274.16247063621","10090.614156517846","50025.8872564309","29598.043218854837",,,,,,,,,,,,,,,,,,,"Cyclophosphamide monohydrate","6055-19-2","279.1",,"Use MW of purchased monohydroate for conversion of molar concentrations in required mg/L.",,,"58.4560288","15261.7"," Baseline x2fold","No","Visual","Water","no","/","/","/","/",,,,,,,,"-1.155584455","-0.983718892",,,,,,,,,,
"Propylthiouracil","Propylthiouracil","PTX097","DNT","C7H10N2OS","PARC-DNT based on ECVAM DNT List, Mundy et al 2015, OECD ZF DNT group ","170.23","51-52-5","DTXSID5021209","KNAHARQHSZJURB-UHFFFAOYSA-N","CCCC1=CC(=O)NC(=S)N1",,,,"not assessed","0.007062",,"COMPTOX (OPERA)","0.00257",,"1.323","COMPTOX",,"2.68E-8","COMPTOX",,,,,,,,,,,,,"1.25","8.05",,"0.817078834199974","0.182921165800026",,,,,"UFZ; Sirius T3","-0.33",,,,,"-0.33","PP-LFER, Ulrich, N., Endo, S., Brown, T.N., Watanabe, N., Bronner, G., Abraham, M.H., Goss, K.-U., UFZ-LSER database v 3.2.1 [Internet], Leipzig, Germany, Helmholtz Centre for Environmental Research-UFZ. 2017 [accessed on 11.08.2023]. Available from http://www.ufz.de/lserd ","-0.19",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.268120630980534","LSERD, eq. 1  (?mw=1)","1.31",,"-0.84","-0.918120630980534","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"4.182576514","712"," Baseline x0.12fold","No","Visual","Water","yes","Alkaline pH","HCl 1N","/","HEPES 10 mM",,,,,,,,,,,"Propylthiouracil","DB00550","Propylthiouracil binds to thyroid peroxidase and thereby inhibits the conversion of iodide to iodine. Thyroid peroxidase normally converts iodide to iodine (via hydrogen peroxide as a cofactor) and also catalyzes the incorporation of the resulting iodide molecule onto both the 3 and/or 5 positions of the phenol rings of tyrosines found in thyroglobulin. Thyroglobulin is degraded to produce thyroxine (T4) and tri-iodothyronine (T3), which are the main hormones produced by the thyroid gland. Therefore propylthiouracil effectively inhibits the production of new thyroid hormones.",,,,,,
"Methimazole","Methimazole","PTX098","DNT","C4H6N2S","OECD ZF DNT group","114.17","60-56-0","DTXSID4020820","PMRYVIKBURPHAH-UHFFFAOYSA-N","CN1C=CNC1=S",,,,"not assessed","2.47E-5",,"COMPTOX (OPERA)","0.436516",,"1.203","COMPTOX",,"9.7E-9","COMPTOX",,,,,,,,,,,,,"-0.34","11.6","-1.8","1",,,,,,"ACD pKa/GALAS","-0.34",,,,,"-0.34","experimental  PhysPropNCCT","-0.06",,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.06","LSERD, eq. 1  (?mw=1)","1.31",,"-0.89","-0.89","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"43.21041721","4933.333333"," Baseline x0.16fold","No","Visual","Water","no","/","/","/","/",,,,,,,,,,,"Methimazole","DB00763","Methimazole's primary mechanism of action appears to be interference in an early step in thyroid hormone synthesis involving thyroid peroxidase (TPO), however the exact method through which methimazole inhibits this step is unclear.[A184559]  TPO, along with hydrogen peroxide, normally catalyzes the conversion of iodide to iodine and then further catalyzes the incorporation of this iodine onto the 3 and/or 5 positions of the phenol rings of tyrosine residues in thyroglobulin. These thyroglobulin molecules then degrade within thyroid follicular cells to form either thyroxine (T<sub>4</sub>) or tri-iodothyronine (T<sub>3</sub>), which are the main hormones produced by the thyroid gland.[A184697]

Methimazole may directly inhibit TPO, but has been shown in vivo to instead act as a competitive substrate for TPO, thus becoming iodinated itself and interfering with the iodination of thyroglobulin.[A184559] Another proposed theory is that methimazoleâ€™s sulfur moiety may interact directly with the iron atom at the centre of TPOâ€™s heme molecule, thus inhibiting its ability to iodinate tyrosine residues.[A184694] Other proposed mechanisms with weaker evidence include methimazole binding directly to thyroglobulin or direct inhibition of thyroglobulin itself.[A184559]",,,,,,
"Azacytidine","Azacytidine","PTX099","DNT","C8H12N4O5","OECD ZF DNT group","244.207","320-67-2","DTXSID9020116","NMUSYJAQQFHJEW-KVTDHHQDSA-N","NC1=NC(=O)N(C=N1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O",,,,"not assessed","0.040316",,"COMPTOX (OPERA)","0.054954",,"2.198","COMPTOX",,"1.0E-10","COMPTOX",,,,,,,,,,,,,"-1.99","13.7;15.1","3.0","0.999999498813008","5.01186982438752E-7",,,"9.99999498813019E-15",,"ACD pKa/GALAS","-2.17",,,,,"-2.17","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-1.9741","-1.97410019589651","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,,,,,,,,,,,,,,"54.59848952","13333.33333"," Baseline x0.02fold","No","Visual","Water","no","/","/","/","/",,,,,,,,,,,"Azacitidine","DB00928","Azacitidine (5-azacytidine) is a chemical analogue of the cytosine nucleoside used in DNA and RNA. Azacitidine may induce antineoplastic activity by inhibition of DNA methyltransferase at low doses and cytotoxicity through incorporation into RNA and DNA at high doses. Covalent binding to DNA methyltransferase results in hypomethylation of DNA and prevents DNA synthesis. As azacitidine is a ribonucleoside, it incoporates into RNA to a larger extent than into DNA. The incorporation into RNA leads to the dissembly of polyribosomes, defective methylation and acceptor function of transfer RNA, and inhibition of the production of protein, resulting in cell death.",,,,,,
"Cytosinearabinoside","Cytosinearabinoside","PTX100","DNT","C9H13N3O5","OECD ZF DNT group","243.219","147-94-4","DTXSID3022877","UHDGCWIWMRVCDJ-CCXZUQQUSA-N","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O",,,,"not assessed","0.043909",,"COMPTOX (OPERA)","0.069183",,"1.766","COMPTOX",,"1.0E-10","COMPTOX",,,,,,,,,,,,,"-1.94","13.7;15.1","4.2","0.999999498813008","5.01186982438752E-7",,,"9.99999498813019E-15",,"ACD pKa/GALAS",,,,,,"-2.3215","mean of ACD consensus and KOWWIN",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-2.084695","-2.08469519589651","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,"1.507283559","366.6"," Baseline x0fold","No","Visual","Water","no","/","/","/","/",,,,,,,,"-0.72649","0.227757",,"Cytarabine","DB00987","Cytarabine acts through direct DNA damage and incorporation into DNA. Cytarabine is cytotoxic to a wide variety of proliferating mammalian cells in culture. It exhibits cell phase specificity, primarily killing cells undergoing DNA synthesis (S-phase) and under certain conditions blocking the progression of cells from the G1 phase to the S-phase. Although the mechanism of action is not completely understood, it appears that cytarabine acts through the inhibition of DNA polymerase. A limited, but significant, incorporation of cytarabine into both DNA and RNA has also been reported.",,,,,,
"Hydroxyurea","Hydroxyurea","PTX101","DNT","CH4N2O2","OECD ZF DNT group","76.055","127-07-1","DTXSID6025438","VSNHCAURESNICA-UHFFFAOYSA-N","NC(=O)NO",,,,"not assessed","13.1614",,"COMPTOX (OPERA)","12.8825",,"1.195","COMPTOX",,"1.09E-8","COMPTOX",,,,,,,,,,,,,"-1.8",,,"1",,,,,,,"-1.8",,,,,"-1.8","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-1.704","-1.704","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,,,,,,,,,,,,,,"810.9381369","61675.9"," Baseline x0.5fold","No","Visual","Water","no","/","/","/","/",,,,,,,,,,,"Hydroxyurea","DB01005","Hydroxyurea is converted to a free radical nitroxide (NO) in vivo, and transported by diffusion into cells where it quenches the tyrosyl free radical at the active site of the M2 protein subunit of ribonucleotide reductase, inactivating the enzyme. The entire replicase complex, including ribonucleotide reductase, is inactivated and DNA synthesis is selectively inhibited, producing cell death in S phase and synchronization of the fraction of cells that survive. Repair of DNA damaged by chemicals or irradiation is also inhibited by hydroxyurea, offering potential synergy between hydroxyurea and radiation or alkylating agents. Hydroxyurea also increases the level of fetal hemoglobin, leading to a reduction in the incidence of vasoocclusive crises in sickle cell anemia. Levels of fetal hemoglobin increase in response to activation of soluble guanylyl cyclase (sGC) by hydroxyurea-derived NO.",,,,,,
"Colchicine","Colchicine","PTX102","DNT","C22H25NO6","OECD ZF DNT group","399.443","64-86-8","DTXSID5024845","IAKHMKGGTNLKSZ-INIZCTEOSA-N","[H][C@@]1(CCC2=C(C(OC)=C(OC)C(OC)=C2)C2=CC=C(OC)C(=O)C=C12)NC(C)=O","NA",,"NA","not assessed","5.25E-4","209.6304825","COMPTOX","0.000537","214.5136","1.24","COMPTOX","8.58E-12","3.51E-10","COMPTOX","NA","NA","NA","NA","NA","Hepatotoxic non-steatotic chemicals","ONTOX_Riskhunt3r","NA","NA, PTX","NA","NA","NA","0.92","14.6","-0.7","1",,,,,,"ACD pKa/GALAS","1.3",,,,,"1.3","experimental  PhysPropNCCT","2.41",,"  (LSERD eq.1)","2.41","LSERD, eq. 1  (?mw=1)","2.56",,"2.27","2.27","682.4958265220599","349.7840484251412","411.2906268661121","790.4965884764857","855.6969814930172","5016.028553153097","855.6969814930172","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,"NA","NA","10.68154071","4266.666667"," Baseline x1.69fold","No","Visual","Water","no","/","/","/","/",,,,,,,,,,,,,,,,,,,
"Aspartame","Aspartame","PTX103","DNT","C14H18N2O5","OECD ZF DNT group","294.307","22839-47-0","DTXSID0020107","IAOZJIPTCAWIRG-QWRGUYRKSA-N","COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O",,,,,"0.0106719","0.0031408148733","COMPTOX (OPERA)","0.18620871366628675","0.05480252789298385","1.345","COMPTOX",,"5.06511E-11","COMPTOX",,,,,,,,,,,,,"-1.64","2.43;11.11","7.76","0.0","0.31","0","0.69",,,"ACD pKa/GALAS",,,"0.225615","0.07, 1.108, 0.929, -1.20454","EPISUITE, ACD/Labs, ACD/Labs Consensus, OPERA (COMPTOX)","0.225615",,,,,"-1.0","@ -1 at logKow < -1 (Gobas 1988)",,,,,"165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1.43572856943933","-0.48148606","MFR|BR|ISI|%SiB|BD|IBI|#AE|#ABE|#NS|NSP|NSD|%SiNS|NS-ISI|NSDsd|#SiNS|r|MI","Aspartame","DB00168","180 to 200 times sweeter than sucrose, it is metabolized as a protein and its subsequent amino-acids used up in there respective mechanisms.",,,,,"Tox21",
"5-Fluorouracil","5-Fluorouracil","PTX104","DNT","C4H3FN2O2","OECD ZF DNT group","130.078","51-21-8","DTXSID2020634","GHASVSINZRGABV-UHFFFAOYSA-N","FC1=CNC(=O)NC1=O",,,,"Soluble","0.0891197","0.0115925123366","COMPTOX (OPERA)","1.4791083881682074","0.19239946091614407","1.469","COMPTOX",,"1.51587E-8","COMPTOX",,,,,,,,,,,,,"-1.84","7.8",,"0.72","0.28","0","0.0",,,"ACD pKa/GALAS","-0.89","PhysPropNCCT (COMPTOX)","-0.76259125","-0.572, -0.779, -0.81, -0.889365","ACD/Labs Consensus, ACD/Labs, EPISUITE, OPERA (COMPTOX)","-0.89",,,,,"-1.0","fixed @ -1 at logKow < -1 (Gobas 1988)",,,,,"165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","5.19E-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fluorouracil","DB00544","The precise mechanism of action has not been fully determined, but the main mechanism of fluorouracil is thought to be the binding of the deoxyribonucleotide of the drug (FdUMP) and the folate cofactor, N5â€“10-methylenetetrahydrofolate, to thymidylate synthase (TS) to form a covalently bound ternary complex. This results in the inhibition of the formation of thymidylate from uracil, which leads to the inhibition of DNA and RNA synthesis and cell death. Fluorouracil can also be incorporated into RNA in place of uridine triphosphate (UTP), producing a fraudulent RNA and interfering with RNA processing and protein synthesis.",,,,,"Tox21",
"Methotrexate","Methotrexate","PTX105","DNT","C20H22N8O5","OECD ZF DNT group","454.447","59-05-2","DTXSID4020822","FBOZXECLQNJBKD-ZDUSSCGKSA-N","CN(CC1=NC2=C(N=C1)N=C(N)N=C2N)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O",,,,"not assessed","1.89E-4",,"COMPTOX (OPERA)","0.014454",,"1.645","COMPTOX",,"1.45E-11","COMPTOX",,,,,,,,,,,,,"-4.9","3.2;4.9;14.4","1.2;5.6","0","0.98",,,"0.02",,"ACD pKa/GALAS","-1.85",,,,,"-1.85","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-1"," @ -1 at logKow < -1 (Gobas 1988)","1.31",,"-1.7405","-2.7405","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,"no cytotoxicity","1.51E-5",,,,,,,,,,,,"Methotrexate hydrate","133073-73-1","472.5",,"Use MW of hydrate to convert from molar to mg/L concentrations for expsoure solutions.",,,"0.568383112","258.3"," Baseline x0fold","No","Visual","Water","yes",,,,,,,,,,,,,,,"Methotrexate","DB00563","Methotrexate enters tissues and is converted to a methotrexate polyglutamate by folylpolyglutamate.[A180322]

Methotrexate's mechanism of action is due to its inhibition of enzymes responsible for nucleotide synthesis including  dihydrofolate reductase, thymidylate synthase, aminoimidazole caboxamide ribonucleotide transformylase (AICART), and amido phosphoribosyltransferase.[A180322] Inhibtion of nucleotide synthesis prevents cell division.

In rheumatoid arthritis, methotrexate polyglutamates inhibit AICART more than methotrexate.[A180322] This inhibition leads to accumulation of AICART ribonucleotide, which inhibits adenosine deaminase, leading to an accumulation of adenosine triphosphate and adenosine in the extracellular space, stimulating adenosine receptors, leading to anti-inflammatory action.[A180322]",,,,,,
"Bromodeoxyuridine","Bromodeoxyuridine","PTX106","DNT","C9H11BrN2O5","OECD ZF DNT group","307.1","59-14-3","DTXSID7033105","WOVKYSAHUYNSMH-RRKCRQDMSA-N","OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(Br)C(=O)NC1=O",,,,"not assessed","0.009635",,"COMPTOX (OPERA)","0.011482",,"1.786","COMPTOX",,"1.82E-11","COMPTOX",,,,,,,,,,,,,"-1.02","7.87;14.6",,"0.746912909501704","0.253087074529582",,,"1.59687151017444E-8",,"UFZ; Sirius T3 + ACD pKa/GALAS","-0.29",,,,,"-0.29","experimental  PhysPropNCCT",,,"fixed @ 1.31 at logKow < 2 (DeBryun and Gobas 2007)","-0.285158044351163","Kow-QSAR (?mw=1)","1.31",,"-0.6017","-0.713958044351163","165958.69074375613","33113.11214825911","58884.3655355589","70794.5784384138","31188.895840939367","143218.78992735434","165958.69074375613",,,,,,,,,,,,,,,,,,,,,,,,,,"10.85422772","3333.333333"," Baseline x0.04fold","No","Visual","Water","yes","/","/","/","HEPES 10 mM",,,,,,,,,,,"Broxuridine","DB12028",,,,,,,
"Perchloric acid","Perchloric acid","PTX116","EDC","ClHO4","PTX","100.45","7601-90-3","DTXSID8047004","VLTRZXGMWDSKGL-UHFFFAOYSA-N","O[Cl](=O)(=O)=O",,,,"Soluble",,,"COMPTOX (OPERA)",,,,"COMPTOX",,,"COMPTOX",,,,,,"Thyroid hormone synthesis disruption",,"Inhibition of sodium iodine symporter (NIS)","De Groef, B.; Decallonne, B. R.; Van der Geyten, S.; Darras, V. M.; Bouillon, R. Perchlorate versus other environmental sodium/ iodide symporter inhibitors: potential thyroid-related health effects. Eur. J. Endocrinol. 2006, 155, 17–25.","Reduced thyroid hormone level",,,,,,,,,,,,,,,"-4.63","-4.63","EPISUITE (COMPTOX)","-4.63",,,"-4.5563","Kow QSAR",,,"-2.8672999999999997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"inorganic: do not tested","inorganic: do not tested",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tiratricol","Tiratricol","PTX118","EDC","C14H9I3O4","NICEATM, JRC, PTX (AT,(Watchfrog)","621.935","51-24-1","DTXSID2045232","UOWZUVNAGUAEQC-UHFFFAOYSA-N","OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1",,,,"Out of QSAR applicability domain","8.66349E-5","5.3881276531500004E-5","COMPTOX (OPERA)","0.007585775750291836","0.004717859441257753","2.851","COMPTOX",,"1.167E-9","COMPTOX",,,,,,"Thyroid hormone antagonism",,"Thyroid hormone analogue","Wikipedia",,,,"2.2",,,"0.0","1.0","0.0","0.0",,,"ACD/GALAS",,,"5.276","5.276, 5.67, 4.81956, 5.474","ACD/Labs Consensus, EPISUITE, OPERA, ACD/Labs (COMPTOX)","5.276",,,"5.44876","Kow QSAR","4.448759999999999","klipW (?mw = 1)","4.16596",,,,"6.542256991735828","7.447607832500643","34.6219670855429","17.640236363698108","40.85107786702262","294.40756140912737",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.082","51",,,"Visual","DMSO","yes","Acid pH","NaOH 1 N",,,,,,,,,,,,,"Tiratricol","DB03604",,"Dlipw>4",,,,,"82"
"Flutamide","Flutamide","PTX119","EDC","C11H11F3N2O3","NICEATM, JRC, PTX (AT, Watchfrog), ECVAM Hepatotoxicants","276.215","13311-84-7","DTXSID7032004","MKXKFYHWDHIYRV-UHFFFAOYSA-N","CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F","N+",,,"Soluble","8.91076E-5","2.4612855734E-5","COMPTOX (OPERA)","1.3182567385564074E-4","3.6412228504035805E-5","1.371","COMPTOX",,"8.03811E-9","COMPTOX",,,,,,"Anti-androgenic",,"Binding to androgen receptor","Wikipedia",,,,"3.72","12.29",,"1.0","0.0","0.0","0.0",,,"ACD pKa/GALAS","3.35","PhysPropNCCT (COMPTOX)","3.14","3.34986, 3.51, 3.14, 3.716","OPERA, EPISUITE, ACD/Labs Consensus, ACD/Labs (COMPTOX)","3.35",,,"3.42","LSER","3.57","Escher et al. 2017","3.14","LSERD",,,"48.49533904983417","39.13812356122128","87.13671698247568","90.84478470267742","151.57933589956102","999.3554839637104",,,,,,,"6.80E-05","not active",,,,,,,,,,,,,,,,,,,,"to be tested",,,"Visual",,,,,,,,,,,,,,,,,"Flutamide","DB00499","Flutamide is a nonsteroidal antiandrogen that blocks the action of both endogenous and exogenous testosterone by binding to the androgen receptor. In addition Flutamide is a potent inhibitor of testosterone-stimulated prostatic DNA synthesis. Moreover, it is capable of inhibiting prostatic nuclear uptake of androgen.",,,,,"Tox21",
"Estrone","Estrone","PTX120","EDC","C18H22O2","NICEATM, JRC, PTX (AT, Watchfrog)","270.372","53-16-7","DTXSID4022367","DNXHEGUUPJUMQT-CBZIJGRNSA-N","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3",,,,,"2.6559E-5","7.180809948E-6","COMPTOX (OPERA)","1.9054607179632484E-5","5.151832252371594E-6","1.148","COMPTOX",,"1.04783E-9","COMPTOX",,,,,,"Estrogen receptor agonist",,,,,,,"3.69","9.92",,"1.0","0.0","0.0","0.0",,,"ACD pKa/GALAS","3.13","PhysPropNCCT, Yalkowsky et al. Chemosphere 2002, 48, 487–509 (COMPTOX)","3.376","3.13238, 3.43, 3.688, 3.376","OPERA, EPISUITE, ACD/Labs, ACD/Labs Consensus (COMPTOX)","3.13",,,"3.5","LSER","3.5933564245778333","Endo et al. 2011a","2.69","Endo et al. 2011b",,,"45.98086527895776","37.44964729722645","84.80795853296733","86.97236826110056","146.3878515266303","967.4147830605516",,,,,,,"no cytotoxicity","not active",,,,,,,,,,,,,,,,,,,,"to be tested",,,"Visual",,,,,,,,,,,,,,,,,"Estrone","DB00655","Estrogens enter the cells of responsive tissues (e.g. female organs, breasts, hypothalamus, pituitary) where they interact with estrogen receptors. Hormone-bound estrogen receptors dimerize, translocate to the nucleus of cells and bind to estrogen response elements (ERE) of genes. Binding to ERE alters the transcription rate of affected genes. Estrogens increase the hepatic synthesis of sex hormone binding globulin (SHBG), thyroid-binding globulin (TBG), and other serum proteins and suppress follicle-stimulating hormone (FSH) release from the anterior pituitary.",,,,,"Tox21",
"Metyrapone","Metyrapone","PTX128","EDC","C14H14N2O","NICEATM, JRC, PTX (AT, Watchfrog)","226.279","54-36-4","DTXSID1023314","FJLBFSROUSIWMA-UHFFFAOYSA-N","CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1",,,,"Soluble","2.49366E-4","5.6426289114E-5","COMPTOX (OPERA)","0.01","0.0022627899999999998","1.127","COMPTOX",,"1.01694E-8","COMPTOX",,,,,,"Inhibition of cortisol steroidogenesis",,"Inhibition of 11beta-hydroxylase","https://en.wikipedia.org/wiki/Metyrapone",,,,"1.19",,,"1.0","0.0","0.0","0.0",,,"ACD/GALAS",,,"1.713","1.88, 1.188, 1.713, 2.53848","EPISUITE, ACD/Labs, ACD/Labs Consensus, OPERA (COMPTOX)","1.713",,,"1.85013","Kow QSAR","1.8501299999999998","klipW (?mw = 1)","1.6362299999999999",,,,"2445.5204565205154","1006.6845421947048","1027.2210887215185","2245.922158719233","1972.9485500457372","10927.516728341006",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000",,,"Visual","Visual","yes","Acid pH","NaOH 1 N",,,,,,,,,,,,,"Metyrapone","DB01011","The pharmacological effect of Metopirone is to reduce cortisol and corticosterone production by inhibiting the 11-&szlig;-hydroxylation reaction in the adrenal cortex. Removal of the strong inhibitory feedback mechanism exerted by cortisol results in an increase in adrenocorticotropic hormone (ACTH) production by the pituitary. With continued blockade of the enzymatic steps leading to production of cortisol and corticosterone, there is a marked increase in adrenocortical secretion of their immediate precursors, 11-desoxycortisol and desoxycorticosterone, which are weak suppressors of ACTH release, and a corresponding elevation of these steroids in the plasma and of their metabolites in the urine. These metabolites are readily determined by measuring urinary 17-hydroxycorticosteroids (17-OHCS) or 17-ketogenic steroids (17-KGS). Because of these actions, metopirone is used as a diagnostic test, with urinary 17-OHCS measured as an index of pituitary ACTH responsiveness. Metopirone may also suppress biosynthesis of aldosterone, resulting in a mild natriuresis.",,,,,,
